instruction,expected_output
Could you please add a new IfcWall to the bathroom with dimensions 1.89 by 2.01 m?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""bathroom"", ""width"": 1.89, ""height"": 2.01}, ""unit"": ""m""}]}"
Kindly delete the IfcWindow with ID 675 located in the south facade.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""id"": 675, ""location"": ""south facade""}}]}"
Could you please add a new IfcDoor to the garage with dimensions 1.3 by 2.0 m?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""garage"", ""width"": 1.3, ""height"": 2.0}, ""unit"": ""m""}]}"
Kindly delete the IfcWindow with ID 272 located in the living room.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""id"": 272, ""location"": ""living room""}}]}"
Could you please add a new IfcWindow to the main entrance with dimensions 1.25 by 2.22 m?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""width"": 1.25, ""height"": 2.22}, ""unit"": ""m""}]}"
Please remove all IfcWall elements from the kitchen as part of the renovation process.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Could you please add a new IfcRoof to the kitchen with dimensions 1.79 by 1.52 mm?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""width"": 1.79, ""height"": 1.52}, ""unit"": ""mm""}]}"
Please remove all IfcWall elements from the main entrance as part of the renovation process.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""main entrance""}}]}"
Could you please add a new IfcDoor to the living room with dimensions 1.29 by 1.17 mm?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""living room"", ""width"": 1.29, ""height"": 1.17}, ""unit"": ""mm""}]}"
Could you please add a new IfcRoof to the bathroom with dimensions 1.29 by 2.48 m?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""bathroom"", ""width"": 1.29, ""height"": 2.48}, ""unit"": ""m""}]}"
Kindly delete the IfcWall with ID 426 located in the north wing.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""id"": 426, ""location"": ""north wing""}}]}"
Please remove all IfcWindow elements from the bedroom as part of the renovation process.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""bedroom""}}]}"
Please remove all IfcWindow elements from the garage as part of the renovation process.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""garage""}}]}"
Could you please add a new IfcWall to the living room with dimensions 1.65 by 2.03 m?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""living room"", ""width"": 1.65, ""height"": 2.03}, ""unit"": ""m""}]}"
Kindly delete the IfcWindow with ID 190 located in the north wing.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""id"": 190, ""location"": ""north wing""}}]}"
Could you please add a new IfcDoor to the south facade with dimensions 1.29 by 1.74 mm?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""south facade"", ""width"": 1.29, ""height"": 1.74}, ""unit"": ""mm""}]}"
Please remove all IfcRoof elements from the hallway as part of the renovation process.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""hallway""}}]}"
Could you please add a new IfcRoof to the north wing with dimensions 1.54 by 2.18 mm?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""north wing"", ""width"": 1.54, ""height"": 2.18}, ""unit"": ""mm""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Add a new IfcWall to the west wing corridor with a fire rating of REI120 and a height of 3.2 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""Location"": ""west wing corridor"", ""Height"": 3.2, ""FireRating"": ""REI120""}, ""unit"": ""m""}]}"
Kindly delete any IfcRoof components above the atrium that exceed 6.5 meters in span.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""Location"": ""atrium"", ""Span"": "">6.5""}, ""unit"": ""m""}]}"
Would you kindly insert a new IfcWindow on the northern facade with dimensions of 1.2m by 1.4m and a triple-glazed frame?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""northern facade"", ""Width"": 1.2, ""Height"": 1.4, ""FrameType"": ""triple-glazed""}, ""unit"": ""m""}]}"
Please remove all IfcDoors that are wider than 1 meter and located on the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""Width"": "">1.0"", ""floor"": 2}, ""unit"": ""m""}]}"
Please add a new IfcWindow in the basement with height 2.21 meters and width 1.91 meters.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""basement"", ""height"": 2.21, ""width"": 1.91, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Could you remove all IfcRoof elements from the basement?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""basement""}}]}"
Could you remove all IfcRoof elements from the kitchen?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Please add a new IfcRoof in the main entrance with height 2.38 meters and width 0.9 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""height"": 2.38, ""width"": 0.9, ""material"": ""wood""}, ""unit"": ""m""}]}"
Please add a new IfcWall in the basement with height 2.0 meters and width 1.51 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""basement"", ""height"": 2.0, ""width"": 1.51, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcRoof in the living room to height 1.88 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""living room"", ""height"": 1.88}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the kitchen with height 1.69 meters and width 1.1 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 1.69, ""width"": 1.1, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Could you remove all IfcWall elements from the kitchen?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Please add a new IfcWall in the kitchen with height 2.48 meters and width 1.56 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 2.48, ""width"": 1.56, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcRoof in the main entrance to height 1.4 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""main entrance"", ""height"": 1.4}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the living room with height 1.65 meters and width 1.75 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""living room"", ""height"": 1.65, ""width"": 1.75, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the kitchen with height 1.94 meters and width 1.59 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 1.94, ""width"": 1.59, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the kitchen to height 1.9 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""kitchen"", ""height"": 1.9}, ""unit"": ""m""}]}"
Could you remove all IfcRoof elements from the living room?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""living room""}}]}"
Would it be possible to update the IfcWall in the attic to height 1.03 meters?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""location"": ""attic"", ""height"": 1.03}, ""unit"": ""m""}]}"
Could you remove all IfcDoor elements from the third floor?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""third floor""}}]}"
Would it be possible to update the IfcRoof in the hallway to height 1.02 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""hallway"", ""height"": 1.02}, ""unit"": ""m""}]}"
Could you remove all IfcRoof elements from the living room?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""living room""}}]}"
Would it be possible to update the IfcWall in the living room to height 2.13 meters?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""location"": ""living room"", ""height"": 2.13}, ""unit"": ""m""}]}"
Could you remove all IfcWall elements from the main entrance?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""main entrance""}}]}"
Please add a new IfcWall in the kitchen with height 1.62 meters and width 1.22 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 1.62, ""width"": 1.22, ""material"": ""steel""}, ""unit"": ""m""}]}"
Could you remove all IfcWindow elements from the second floor?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""second floor""}}]}"
Could you remove all IfcDoor elements from the hallway?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""hallway""}}]}"
Please add a new IfcDoor in the hallway with height 1.53 meters and width 1.49 meters.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""hallway"", ""height"": 1.53, ""width"": 1.49, ""material"": ""steel""}, ""unit"": ""m""}]}"
Please add a new IfcWindow in the kitchen with height 1.41 meters and width 0.9 meters.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 1.41, ""width"": 0.9, ""material"": ""steel""}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the basement with height 1.21 meters and width 1.83 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""basement"", ""height"": 1.21, ""width"": 1.83, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcRoof in the attic to height 2.04 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""attic"", ""height"": 2.04}, ""unit"": ""m""}]}"
Could you remove all IfcDoor elements from the living room?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""living room""}}]}"
Would it be possible to update the IfcDoor in the hallway to height 1.44 meters?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""location"": ""hallway"", ""height"": 1.44}, ""unit"": ""m""}]}"
Please add a new IfcWindow in the main entrance with height 1.03 meters and width 0.85 meters.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""height"": 1.03, ""width"": 0.85, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWall in the third floor to height 1.86 meters?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""location"": ""third floor"", ""height"": 1.86}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the hallway to height 1.41 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""hallway"", ""height"": 1.41}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWall in the basement to height 1.67 meters?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""location"": ""basement"", ""height"": 1.67}, ""unit"": ""m""}]}"
Could you remove all IfcDoor elements from the bathroom?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""bathroom""}}]}"
Please add a new IfcWall in the living room with height 1.26 meters and width 1.35 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""living room"", ""height"": 1.26, ""width"": 1.35, ""material"": ""aluminum""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the bathroom to height 2.18 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""bathroom"", ""height"": 2.18}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the second floor to height 2.0 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""second floor"", ""height"": 2.0}, ""unit"": ""m""}]}"
Could you remove all IfcWindow elements from the second floor?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""second floor""}}]}"
Would it be possible to update the IfcWall in the second floor to height 2.03 meters?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""location"": ""second floor"", ""height"": 2.03}, ""unit"": ""m""}]}"
Could you remove all IfcWall elements from the bathroom?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""bathroom""}}]}"
Would it be possible to update the IfcRoof in the attic to height 1.43 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""attic"", ""height"": 1.43}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the bathroom with height 1.21 meters and width 0.92 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""bathroom"", ""height"": 1.21, ""width"": 0.92, ""material"": ""aluminum""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the bathroom to height 1.57 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""bathroom"", ""height"": 1.57}, ""unit"": ""m""}]}"
Please add a new IfcWall in the basement with height 1.72 meters and width 0.86 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""basement"", ""height"": 1.72, ""width"": 0.86, ""material"": ""steel""}, ""unit"": ""m""}]}"
Please add a new IfcWindow in the third floor with height 1.18 meters and width 1.47 meters.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor"", ""height"": 1.18, ""width"": 1.47, ""material"": ""aluminum""}, ""unit"": ""m""}]}"
Please add a new IfcDoor in the basement with height 1.2 meters and width 0.83 meters.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""basement"", ""height"": 1.2, ""width"": 0.83, ""material"": ""steel""}, ""unit"": ""m""}]}"
